trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'e': 0.00022276676319893073, 'a': 0.5}",20,14,12.54518700137175,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'e': 0.00021626297577854672, 'a': 0.5}",30,5,40.16431052440698,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'e': 0.00021003990758244065, 'a': 0.5}",20,14,9.471095712306234,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'e': 0.00020408163265306123, 'a': 0.5}",20,0,27.706088702502402,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'e': 0.00019837333862328903, 'a': 0.5}",20,14,13.768255278292257,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'e': 0.00019290123456790122, 'a': 0.5}",20,0,27.398268542570232,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'e': 0.00018765246762994934, 'a': 0.5}",20,1,27.403367363276587,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'e': 0.00018261504747991235, 'a': 0.5}",30,0,38.40211778389605,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'e': 0.00017777777777777779, 'a': 0.5}",20,10,15.014858703412607,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'e': 0.00017313019390581717, 'a': 0.5}",20,0,33.09014078383205,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'e': 0.00016866250632484398, 'a': 0.5}",25,5,31.534039935974914,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'e': 0.0001643655489809336, 'a': 0.5}",25,7,31.47365204568905,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'e': 0.0001602307322544464, 'a': 0.5}",20,12,8.092432314654731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'e': 0.00015625, 'a': 0.5}",30,19,22.54437027025635,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'e': 0.00015241579027587258, 'a': 0.5}",35,15,39.223560285862625,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'e': 0.000148720999405116, 'a': 0.5}",20,11,14.565198255687395,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'e': 0.00014515894904920887, 'a': 0.5}",30,20,13.272887950495102,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'e': 0.0001417233560090703, 'a': 0.5}",20,4,25.12656401244859,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'e': 0.0001384083044982699, 'a': 0.5}",20,3,24.478594652130994,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'e': 0.00013520822065981613, 'a': 0.5}",25,8,27.38240216886822,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'e': 0.0001321178491214163, 'a': 0.5}",25,0,36.64204958412276,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'e': 0.00012913223140495868, 'a': 0.5}",25,6,32.06363203612237,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'e': 0.00012624668602449185, 'a': 0.5}",25,0,32.373060000113036,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
90,False,"{'e': 0.0001234567901234568, 'a': 0.5}",25,2,36.69785855233766,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'e': 0.00012075836251660427, 'a': 0.5}",35,12,39.658936625286174,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'e': 0.00011814744801512288, 'a': 0.5}",20,0,27.793712508174607,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'e': 0.00011562030292519366, 'a': 0.5}",20,13,10.495106793771805,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.00011317338162064282, 'a': 0.5}",25,14,13.548755669319327,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.00011080332409972299, 'a': 0.5}",20,0,29.139113605080905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'e': 0.00010850694444444444, 'a': 0.5}",20,9,20.81259611738562,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'e': 0.00010628122010840685, 'a': 0.5}",30,14,23.67037509312256,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'e': 0.00010412328196584757, 'a': 0.5}",20,4,21.550826686702134,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'e': 0.00010203040506070809, 'a': 0.5}",30,16,23.985874508522016,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'e': 0.0001, 'a': 0.5}",25,6,25.586760106747242,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'e': 9.802960494069208e-05, 'a': 0.5}",35,8,34.695076234593685,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",25,3,30.088736002196665,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",20,0,26.276686389692564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",20,16,8.21609578988824,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",25,1,36.38769478070612,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",30,16,23.455359484561146,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",20,13,11.066953299177616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",25,5,30.58455928000183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",25,17,16.310383379036935,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",35,20,22.055320520041683,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 9.802960494069208e-05, 'a': 0.5}",25,15,17.582071677494906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
